event_count,code_edit_count,cursor_move_count,editor_focus_count,mean_inter_event_time,std_inter_event_time,mean_edit_length,std_edit_length,large_edit_count
7,3,4,0,0.664859874950101,0.7548889584956078,322.3333333333333,1.247219128924647,3
5,2,3,0,0.514837833121419,0.5682841164667938,323.0,1.0,2
7,3,4,0,0.5651526319173475,0.6063112134240163,330.6666666666667,10.873004286866726,3
6,3,3,0,0.4038343332707882,0.5338486528587673,330.6666666666667,10.873004286866726,3
8,4,4,0,0.6854130891816956,0.975835915834942,334.75,11.776565713313877,4
12,6,6,0,0.34259709089317103,0.7793286178340026,348.5,1.707825127659933,6
12,6,6,0,0.34259709089317103,0.7793286178340026,348.5,1.707825127659933,6
10,5,5,0,0.11000387960424025,0.12872544137213773,349.0,1.4142135623730951,5
12,6,6,0,0.2857528712431138,0.6024219730289314,349.5,1.707825127659933,6
10,5,5,0,0.32109434716403484,0.6581759560785606,350.0,1.4142135623730951,5
4,2,2,0,1.4264605417847633,2.015741878741941,352.5,0.5,2
3,1,2,0,0.5862921457737684,0.5850536460056901,353.0,0.0,1
3,1,2,0,0.5862921457737684,0.5850536460056901,353.0,0.0,1
5,2,3,0,0.8426248959731311,0.9146582685301782,354.0,1.0,2
5,2,3,0,0.8426248959731311,0.9146582685301782,354.0,1.0,2
3,1,2,0,1.0989576461724937,1.0952163119800389,355.0,0.0,1
4,0,4,0,0.34790968025724095,0.21288899057744873,0.0,0.0,0
4,0,4,0,0.34790968025724095,0.21288899057744873,0.0,0.0,0
9,2,6,0,0.3492433906067163,0.3891238427497711,354.5,0.5,2
9,2,6,0,0.3492433906067163,0.3891238427497711,354.5,0.5,2
8,2,5,0,0.3067754166466849,0.3982714986545295,354.5,0.5,2
11,4,4,0,0.34586770832538605,0.7053743580417285,354.0,0.7071067811865476,4
13,5,5,0,0.3700566249899566,0.6764142044212956,354.0,0.6324555320336759,5
10,4,4,0,0.22725168977760607,0.3421579546711045,354.0,0.7071067811865476,4
10,4,4,0,0.22725168977760607,0.3421579546711045,354.0,0.7071067811865476,4
11,4,5,0,0.46196037493646147,0.7753440277394484,354.0,0.7071067811865476,4
6,2,4,0,0.8411413080990314,0.9538056983308534,354.5,0.5,2
5,1,4,0,0.9819281145464629,0.9997607503991972,355.0,0.0,1
6,0,6,0,0.5750742334872484,0.3712152328142591,0.0,0.0,0
6,0,6,0,0.5750742334872484,0.3712152328142591,0.0,0.0,0
7,1,6,0,0.6257130765977005,0.6628624164466371,356.0,0.0,1
7,1,6,0,0.7750719861748318,0.6690262828496759,356.0,0.0,1
6,1,5,0,0.733183816820383,0.7256636191660594,356.0,0.0,1
11,5,6,0,0.32997239995747807,0.48986398061294917,358.0,1.4142135623730951,5
15,7,8,0,0.3005243065500898,0.44213746673988225,359.0,2.0,7
13,6,7,0,0.2523141527393212,0.39310518077294476,359.5,1.707825127659933,6
14,7,7,0,0.2780797756635226,0.5237963807670746,360.14285714285717,2.2314999074019015,7
16,8,8,0,0.32200391391913097,0.5471986733374596,363.375,8.802520945729126,8
8,4,4,0,0.5510736904772264,0.7221939783108877,368.25,10.304731922762475,4
10,5,5,0,0.3004982777767711,0.4600224656871884,382.8,9.45304183847718,5
14,7,7,0,0.2850515159706657,0.4275439180344006,385.0,8.717797887081348,7
14,7,7,0,0.3080967916892125,0.48180969818837194,389.14285714285717,2.2314999074019015,7
12,6,6,0,0.2662965833971446,0.4587931592230608,389.6666666666667,1.9720265943665387,6
14,7,7,0,0.3265788782244691,0.514306837582561,390.2857142857143,2.3733211036908783,7
9,4,5,0,0.4746780990390107,0.5999380032631558,392.0,1.5811388300841898,4
8,3,5,0,0.5536883035674691,0.5243670966734778,394.0,0.816496580927726,3
